新聞標題,日期時間,新聞內容,新聞連結
打擊數位犯罪 調查局與美、日、澳、斯代表進行5國視訊會議,2022/03/22 11:41,"調查局長王俊力今天在GCTF研習營致詞。（調查局提供）
2022/03/22 11:41
〔記者錢利忠／台北報導〕為因應急遽增加的虛擬資產網路相關犯罪，調查局洗錢防制處及資通安全處人員，今天與美國、日本、澳洲、斯洛伐克等國共同舉辦「2022全球合作暨訓練架構（GCTF）-數位犯罪防制國際研習營」，今天與各國代表進行跨境視訊會議，期待與各國建立安全的夥伴關係。
本次研習營由調查局長王俊力、法務部長蔡清祥、斯洛伐克經濟文化辦事處代表博塔文等人開幕致詞，後由美國、澳洲、日本及斯洛伐克相關單位專家與調查局洗錢防制處及資通安全處人員透過視訊會議分享各國案例與經驗。
王俊力今表示，數位犯罪具跨國特質，虛擬犯罪場域具匿蹤特性，虛擬貨幣又形成金流斷點，都凸顯執法機關跨國合作的重要性，以及提升偵查犯罪技巧的迫切，為因應急劇增加的數位犯罪威脅，今年GCTF研習營以數位犯罪防治為主題，邀集台灣、美國、日本、澳洲及斯洛伐克的專家，分享防制虛擬貨幣犯罪、遏止駭客攻擊及數位犯罪的最新趨勢，提供各類態樣及手法，提升相關防制犯罪的技能。
台、美於2015年6月合作成立「全球合作暨訓練架構」（Global Cooperation and Training Framework，簡稱：GCTF），日本、澳洲也分別於2019年、2021年加入該平台，各國透過舉辦共同關切議題的訓練課程，建構理念相近國家因應世界趨勢的連結。
GCTF自2018年首次納入執法項目迄今，調查局已舉辦過4次研習營，分別為2018「打擊跨境犯罪及美鈔、護照鑑識國際研習營」，2019「打擊公私部門貪瀆國際研習營」，2020「防制新冠肺炎相關犯罪國際研習營」，2021「洗錢防制國際研習營」。累積近千位各國執法官員與會，實質擴大國際參與，深化我國與美國及全球盟邦的友好夥伴關係。
相關單位專家與洗錢防制處、資通安全處人員，以跨境視訊會議方式分享各國案例與經驗，總計邀請30餘國、近350名執法人員上線參與，並以數位犯罪防制為討論核心，著重理論技術與實務經驗的結合，盼能推升國際合作，消弭跨境犯罪。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3867463
嚴查加密貨幣等智財犯罪 高檢署科技偵查中心戰情室首曝光,2022/03/21 16:18,"高等檢察署智慧財產檢察分署今天下午舉行「科技偵查中心」揭牌啟用典禮，首度公布檢方偵辦虛擬貨幣相關案件的「戰情室」。（記者錢利忠攝）
2022/03/21 16:18
〔記者錢利忠／台北報導〕高等檢察署智慧財產檢察分署為提升偵辦智財案件能量，今天下午舉行「科技偵查中心」揭牌啟用典禮，並首度公布檢方偵辦虛擬貨幣相關案件的「戰情室」，業務涵蓋數位鑑識、測謊、科技研發、突破加密貨幣軌跡、科技監控、犯罪資料庫分析等，有效提升司法辦案效率。
高檢署檢察長邢泰釗表示，科技偵查中心主要有三大主軸，分別為「科技偵查組」、「科技監控組」及「偵查大數據組」。
科技偵查組包含數位鑑識、測謊、科技研發及加密貨幣分析等業務；科技監控組以衛星、行動等定位方式，輔以GIS地理圖資及電子設備，即時掌握刑事被監控者行蹤，達到監控定位及降低再犯罪的成效；偵查大數據組則包含科技偵查輔助平台應用、毒情分析研究及網路犯罪偵查協調等業務。
邢泰釗指出，科技偵查中心將持續研發檢察機關偵查所需的工具及輔助系統，並跨機關進行橫向資料取得及縱向資料分析，使偵查結果更為完善。
高等檢察署智慧財產檢察分署為提升偵辦智財案件能量，今天下午舉行「科技偵查中心」揭牌啟用典禮。（記者錢利忠攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3866723
綠學院觀點》碳權不是「權」！碳權最大的問題是取錯名字了！,2022/03/21 12:57,"柯忠昇
綠色產業裡面有個很經典的錯誤翻譯，我們現在都說「太陽能電池」，但太陽能電池事實上並不是電池，它並不儲能，這只是因為它的英文名字是Solar cell，英文用cell形容的是它的單位，不是說它像電池一樣能儲存電力。
這個悲劇一直到二十幾年後的今天都仍然造成外行人的錯誤理解，禍不單行，同樣的積非成是再次降臨碳權。當二十幾年前碳權飄洋過海來到臺灣時，被翻譯成了聽起來像是一種「得到什麼東西的權利」。
請繼續往下閱讀...
一聽到什麼「權」，我們多數人會想到的是類似股權的東西，英文叫Equity，代表擁有獲得分享某個公司未來獲利的一個權利。股權被轉換成為金融商品，就可以進行各種商業行為。世界上每一種金融商品的設計，都是為了背後的資產獲利增長，因此當我們聽到碳權，直覺就想一定是類似股權的東西可以拿來投資賺錢，於是市場現在就高潮了，整天都有人來綠學院問公司如何取得碳權。
但是碳權的設計跟其他金融商品的設計邏輯相反，別人是為了增長，可是碳權的設計不僅不追求增長，還打算消滅它，這就是在暗示它不應該叫做碳權。
碳權二十幾年前飄洋過海來到臺灣時，被翻譯成了聽起來像是一種「得到什麼東西的權利」。圖為位於印尼境內的棕梠油廠。（REUTERS）
所以如果在不理會碳權存在的市場脈絡之下，我們應該把碳權理解成像是大宗物資（commodity）例如石油或黃金，也可以想成像是比特幣等虛擬貨幣。總之，就是一些有限定存量的東西。所有參與者對於這個產品有不同的價值看法，所以有人做多，也有人做空。所以任何適合大宗物資金融商品的設計，比較合適用來包裝碳權。
放在市場脈絡之下，碳權應該叫什麼名字？
碳權應該叫什麼名字？我們之前說斯斯有三種，碳權則有兩種：
第一種碳權：強制性市場中的排放額度
這裡的碳權，英文叫做allowance，是排放額度。政府設定了減量目標，並進一步把允許排放量當做一種籌碼（碳權）發放給受管制者；以這些碳權做為標的，可以進行碳交易。
舉個例子，如果天龍國塞車太嚴重，政府希望減少馬路上的車子，於是宣布每週二、四、六只有車號為雙號的車輛可以上路，週一、三、五只有單號的車輛可以上路，當日原本可以上路的車子若願意犧牲不上路，可以把這個權利賣給原本無法上路的車子。如果開車的需求實在太強勁，結果就會是這個權利的價格持續攀升。如果大家都想賺錢，而克制自己上路的需求，自然就都不開車了，每個人都想把權利賣掉，而不想買進權利，最終的結果就是權利的價格下降了，上路的車子減少，政府就達到了最初的政策目的，這就很像碳權。這裡的前提條件是政府出面當莊家。所以碳權這種金融商品，必須有政府出面擔保，並給它合適的法律定位，否則像敘利亞這樣一下子國家就毀掉了，就算有碳權也都直接歸零。
第二種碳權：自願性市場中的減量額度，也可稱碳信用
這裡的碳權，英文叫做credit，是減量額度，也可稱碳信用，代表的是認證過的減量成效。這裡能創造的碳權空間，當然比強制性市場當然大上許多。在金融市場上，信用當然是可以拿來交易的東西，但金融市場處理的信用主要是債信，賭的是發行者借錢到底會不會準時還錢，這是非常明確的賭局。
碳的減量額度就麻煩許多。因為目前取得減量信用額度，都是個別減量專案接受不同核證單位評估而來，這些不同的核證單位基本有三種：聯合國、國際獨立機構、以及各國或地方的主管機關，在不同核證單位的相異規範下，專案計算的減量可信度、品質，甚至減量效果的永久性都可能有差異。所以在自願性市場的碳權，到現在都沒有看到金融業者打包成散戶可買的ETF。
我們之前文章講過，一個東西能否金融商品化必須要符合兩大底層邏輯，一是可以標準化，並取得國際公信力；二有足夠的參與者，才能提供持續的流動性。雖然在2021年，自願性市場的碳權規模已經成長到十億美元左右，但如果這個市場的碳權都只是需求者買來之後就直接用來抵消排放量、不再轉售，而沒讓這些碳權持續在市場上不斷地轉手，沒有流動性，那麼金融市場的工具就很難引入這個機制。套用金融市場的術語來說，就是只有初級市場，而無次級市場，這樣的東西很難拿來設計更多的衍生性金融商品。
所以回過頭來，碳權應該叫什麼名字？不管是叫排放額度，或是減量額度，你可能還是覺得叫碳權比較吸金。
要我說，碳權改為「碳憑證」或「碳許可」會更精準一些，因為它比較像是一個標章或憑證，有點像是綠電憑證。不過名字不是能否金融商品化的重點。舉例而言，綠電憑證當初設計時就說它未來將成為金融商品，因為綠電的可信度比碳權更高，很多國家都已經有綠電交易平台，而且綠電憑證在不同區域的價格差異也沒像碳權這麼大，但我們至今仍很難看到用綠電憑證包裝出來的金融商品。
到這裡，我們已經建立碳權不是股權的概念，也比較能用憑證或許可的概念去想像碳權，下一篇，我們將開始講什麼是碳交易。
（作者柯忠昇從小只會用數字看世界，而後順理成章成為專業交易員，沉浸在各種金融商品交易十餘年，習慣每天盯著四台電腦與八個螢幕的高壓生活。中年某日因一碗泡麵頓悟，從一個熱衷短線交易的操盤人，轉型做產業長期投資人，希望投資的結果不只滿足荷包，也能改變世界。目前擔任臺灣以色列投資合作中心TXI Center共同創辦人、TXI私募股權基金經理人及綠學院綠色帶路人。）
本文經授權轉載自【綠學院】柯忠昇：〈碳權不是「權」！碳權最大的問題是取錯名字了！〉
綠學院 Green Impact Academy
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://talk.ltn.com.tw/article/breakingnews/3866480
鹿港警分局1個月阻詐騙800萬元 多是「遊說投資」老橋段,2022/03/11 21:48,"詐騙猖獗，最近1個月來鹿港警分局攔阻近800萬元詐騙案件。（警方提供）
2022/03/11 21:48
〔記者張聰秋／鹿港報導〕近1個月來彰化縣警察局鹿港分局攔阻近800多萬疑似被詐騙的款項，騙術橋段全脫離不了遊說投資，內容又以數位貨幣和股票居多；彰化縣蔡姓男子從社群軟體Line，認識1名自稱是投資高手的網友，對方遊說蔡男投資股票獲利高，蔡男禁不起誘惑，信以為真前往金融機構準備匯款，因未能說明做何用途，被機警行員發現異狀，通報警方攔阻40萬元到陌生帳戶。
和興派出所所長吳翊瑋說，此案關鍵點在於同仁發現，對方提供別人的人頭帳戶要蔡男匯款，本身就很可疑，他們檢視蔡男手機，查看來電訊息內容，對方指示蔡男面對行員關懷提問匯款情節，要回說「房屋修繕」，類似這種對話，就是很典型的假投資、真詐騙情節，經員警勸導，蔡男才從發財夢醒了過來，馬上刪除與對方的聯絡方式。
吳翊瑋表示，近來投資詐騙內容，大都以投資致富，獲利誘人當誘餌，以虛擬貨幣交易讓人上當，先給被騙者嘗甜頭，當被騙者加碼再投資，錢騙到手平台一夕關閉，被騙者上不了平台，也找不到對手，虛擬世界的虛擬貨幣帳戶追查困難，一旦被騙損失恐怕難以追回。
這起案子，在於蔡男網路上認識一名網友，對方不斷分享投資股票如何獲利，雙方認識才1個月，對方就以兄弟互稱，蔡男也想致富，拿出40萬元積蓄，還好，臨櫃行員機靈查覺有異，趕緊通知警方，警方到場蔡男說不出轉帳大筆金額40萬元用途，經警方好言相勸，說明詐騙集團騙術橋段，蔡男恍然大悟，停止匯款動作。
鹿港警方最近攔阻1名男子從賴群組認識網友，遊說蔡男投資股票，蔡男信以為真，拿出40萬元積蓄，還好，行員機靈查覺有異，通報警方到場處理，守住蔡男的現金。（警方提供）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3856765
「挖礦」竊電375萬元 4嫌被起訴,2022/03/11 05:30,"台電人員配合警方到劉男等人在頭城的挖礦據點，發現他們割開台電裝設的輸電線竊電。（記者蔡昀容翻攝）
2022/03/11 05:30
〔記者蔡昀容／宜蘭報導〕以電子設備獲取虛擬貨幣，俗稱「挖礦」，李男有此專業，但運作設備需大量電力，他與黃男、劉男共謀，以頭城洗車場為據點，私接電源挖礦；李男與妻子梁女，另在台中市租鐵皮屋竊電挖礦。檢警破獲兩案，竊電金額約三百七十五萬元，查獲價值約十一萬六千元的虛擬貨幣。檢警逮獲四人，全案昨依竊盜罪起訴，另有一名林嫌在查。
據了解，劉男透過在逃林嫌，認識中部的李男、黃男，得知李男有挖礦專長，於是共同謀議竊電挖礦。劉男提供頭城透天宅做為挖礦場所，一樓經營洗車廠作為掩護；李男提供礦機和私接電源的裝備和材料；黃男出資購買礦機，載到現場裝設；林男保管挖得虛擬貨幣的錢包，兌換現金後再分取利益。
劉男、李男去年七月破壞地面，割開台電輸電線，開始竊電挖礦；台電宜蘭營業處人員發現變電箱電流異常大量，趕緊報警；警方去年十一月前往搜索，扣得一一九台礦機、私接六條電纜線等物，竊得電力的不法利益達二○九萬餘元。
另，李男與妻子梁女，去年六月在台中市神岡區租鐵皮屋，以私接方式竊電挖礦；梁女並設立虛擬貨幣錢包，將挖礦獲取的虛擬貨幣兌換現金。警方今年一月前往搜索，扣得二十四台礦機等物，竊得電力的不法利益一六五萬四千餘元。
宜蘭檢警偕同刑事局、台中市警察局共同偵辦，總共扣得一四三台礦機，以及比特幣○．一五枚、乙太幣○．一九枚、狗狗幣五二五五．九四枚、大零幣十．六四枚、泰達幣三一九．八四枚、萊特幣三．八三枚，總值約十一萬六千元。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/life/paper/1505201
偷375萬元電力挖礦 4賊獲利11.6萬元遭訴,2022/03/10 16:39,"台電人員配合警方到劉男等人在頭城的挖礦據點，找到他們竊電證據。（記者蔡昀容翻攝）
2022/03/10 16:39
〔記者蔡昀容／宜蘭報導〕以電子設備獲取虛擬貨幣，俗稱挖礦，李男對此有所專功，但運作設備需大量電力，他與黃男、劉男共謀，以宜蘭頭城洗車場為據點，私接電源挖礦；李男與妻子另在台中市租鐵皮屋竊電挖礦。檢警破獲兩案，竊電金額375萬元，查獲價值約11萬6000元的虛擬貨幣。檢警逮獲4人，檢方依竊盜罪嫌起訴，另有1名林嫌在逃。
劉男是宜蘭人，透過在逃林嫌，認識中部的李男、黃男，得知李男有挖礦專長，於是共謀竊電挖礦。劉男提供頭城一間透天宅作為挖礦場所，一樓經營洗車廠作為掩護，李男提供礦機和私接電源的裝備和材料，黃男出資購買礦機，載到現場裝設，林男保管挖得虛擬貨幣的錢包，兌換現金後再分取利益。
劉男、李男去年7月開始竊電挖礦，台電宜蘭營業處人員發現變電箱電流異常大量，趕緊報警，警方去年11月前往搜索，扣得119台礦機、私接6條電纜線等物，竊得電力的不法利益高達209萬880元。
另，李男與妻子梁女，去年6月在台中市神岡區租鐵皮屋，以私接方式讓台電電表計量失準，進行挖礦，藉此節省電費，梁女設立虛擬貨幣錢包，將挖礦獲取的虛擬貨幣兌換現金。警方今年1月前往搜索，扣得24台礦機等物，竊得電力的不法利益高達165萬4308元。
經宜蘭地檢署、宜蘭縣刑大、刑事局、台中市警察局等單位進行偵辦，總共扣得143台礦機，約0.15枚彼特幣、0.19乙太幣、5255.94枚狗狗幣、10.64枚大零幣、319.84枚泰達幣、3.83枚萊特幣，總值約11萬6000元，竊得電力總計375萬元。宜檢依竊盜罪嫌，將劉男等共4人起訴。
劉男等人遭逮，警方依法送辦。（記者蔡昀容翻攝）
劉男、李男等人作案用礦機。（記者蔡昀容攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3855361
洗錢水房藏身高雄大樓 2個月經手7億遭警攻堅瓦解,2022/03/10 16:27,"洗錢水房藏身高雄大樓，警攻堅逮8嫌。（民眾提供）
2022/03/10 16:27
〔記者黃良傑／高雄報導〕31歲吳姓男子把洗錢「水房」隱身在高雄市民宅內，涉嫌幫詐欺及網路簽賭集團洗錢，打出「高薪、輕鬆、免經驗」召募員工，短短2個月內，進出洗錢逾7億元，不法獲利超過千萬，警方攻堅查扣多達190支手機，以及相關網路設備1批、教戰手冊1批等，警詢後將8嫌移送法辦。
高市刑大今指出，這處水房協助洗錢詐欺、博弈集團的不法獲利，再以虛擬貨幣及人頭帳戶，透過手機把贓款轉帳到境外不明帳戶，逃避查緝、抽取暴利，經檢視查扣帳冊報表，初估該犯罪集團今年短短2個月內，就經手逾7億元，若抽成1.5％，不法獲利逾千萬。
保大特警協助刑大拂曉出擊，趁成員開門之際，攻堅破獲詐欺、博弈洗錢水房，逮捕以吳男為首的水房成員，據查水房8嫌分為2班制，全天24小時不停運匯，並自教戰手冊中出考題訓練成員，利用電腦和手機加速作業流程，規避警方查緝。
高市刑大除加強查緝詐欺案力道，也積極防治詐欺案的發生率，今年詐欺發生數439件，較去年同期499件減少60件，此外，暴力犯罪發生數與去年同期比較減少6件（減少42.8%），且全數偵破，破獲率在六都排名第二；高市警察局長黃明昭也指示17個分局，持續掃槍打詐。
警方查扣190餘支手機。（記者黃良傑攝）
洗錢水房藏身高雄大樓，警逮8嫌。（民眾提供）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3855320
FIU示警虛擬資產風險高 法務部：防止成為影響選舉工具,2022/03/09 22:42,"法務部長蔡清祥提醒，執法機關應緊盯不法資金有無轉換成虛擬資產型態，影響年底選舉。（記者吳政峰攝）
2022/03/09 22:42
〔記者吳政峰／台北報導〕調查局洗錢防制處旗下的國家金融情報中心（Financial Intelligence Unit，簡稱：FIU）9日示警，目前我國僅7間的「虛擬資產服務提供者」（VASPs）完成洗錢防制法令遵循聲明，比特幣等虛擬資產（Virtual Assets）的場外交易風險高，民眾須謹慎；法務部長蔡清祥則提醒，年底公職人員選舉即將來到，慎防虛擬資產成為影響選舉的工具。
FIU公布數據指出，目前僅18間VASPs向調查局登記納入可疑交易報告（STR）及大額交易資料（CTR）申報機制，其中又只有7間完成成洗錢防制法令遵循聲明，虛擬資產具有高風險，民眾若真的要申購，必須非常謹慎選擇。
調查官林可凡分析，利用虛擬資產洗錢是近年新興犯罪趨勢，大量交易透過點對點（P2P）或場外進行交易，去中心化的特色使監管不易、缺乏適當認識客戶（Know Your Customer，簡稱：KYC）程序且跨境移轉快速，風險極高，是目前各國FIU重點觀察的高風險犯罪類型之一。
林可凡表示，調查局擔任我國FIU角色，將持續引進國外相關防制洗錢及打擊資恐指引、法律規範及執法案例等，以提供相關權責機關參考。同時將透過科技化工具、精進專業技能、建立更緊密的公私協力夥伴關係及國際合作，積極開展國際防制洗錢合作，以彰顯我國防制洗錢的國際地位。
FIU說明，目前虛擬資產用在國際交易的大宗類型，多為販賣管制物品（例如軍火）、詐欺及勒索軟體 、稅務及電腦犯罪；國內則偏向銀行法（吸金）、詐欺、地下通匯、證券犯罪、賭博、毒品。
蔡清祥肯定調查局查緝不法資金的努力，並和國際機構分享資訊，一起打擊犯罪；而他也提醒，年底九合一公職人員選舉即將來到，檢察機關與調查局應緊盯，有心人士是否可能把不法資金轉換成虛擬資產型態，流入台灣影響選舉。
調查官林可凡說明虛擬資產的風險。（記者吳政峰攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3854507
立委質疑詐領助理費辦藍不辦綠？ 法務部：勿枉勿縱,2022/03/09 11:13,"立委陳以信統計，議員詐領助理費的案件數，與國民黨有關的佔了6成。（翻攝自國會頻道）
2022/03/09 11:13
〔記者吳政峰／台北報導〕國民黨立委陳以信9日在司法及法制委員會質詢時表示，根據統計，從2019年到現在，全國各縣市議會共有33件詐領助理費案，其中最多的是國民黨，佔了6成，台南的8件甚至全部跟國民黨有關，數據難以服眾，有沒有辦藍不辦綠的問題？法務部長蔡清祥保證，辦案人員只會依照證據辦案，絕無政治立場，勿枉勿縱，司法中立。
陳以信指出，司法統計數據顯示，詐領助理費的議員，從2019年至今共有33案，其中國民黨籍佔了6成、民進黨2成、其他政黨或無黨籍2成；而光是台南就有8案，其中6人是國民黨籍，2人是親國民黨者。
陳以信質疑，數據顯示國民黨佔多數，恐有偏差或異常，難以服眾，也讓地方人士覺得很奇怪，是否有辦藍不辦綠的問題？尤其年底選舉將屆，蔡清祥應該再次宣示並保證司法不會有黨籍、政治、地域的考量。
蔡清祥表示，辦案人員是依照證據辦案，絕對不會有政治考量，只要有犯罪嫌疑，檢察官就會處理，不分藍綠，沒有顏色，勿枉勿縱。蔡除了重申陳以信的訴求，檢察機關辦案不得有黨籍、政治、地域考量以外，他還加上不得有人情考量。
另外，陳以信表示，有些民眾注射疫苗後死亡，死因卻鮮少被認定與疫苗有關，無法適用藥害救濟，形同冤死，使得很多家屬也不敢同意解剖，普遍的不正義，負責解剖的法醫研究所，希望能針對這類疫苗死亡可疑案件，訂定出處理的標準作業流程。
蔡清祥回應，法醫所負責死因認定，但是否與疫苗有關，須把解剖後的相關資料交給專業人士判讀，法醫所內部已針對這類案件制定相關辦法。
談及俄國入侵烏克蘭，民進黨立委江永昌指出，一場戰爭凸顯出虛擬貨幣的流通與避險的特性，美國已有能力制裁親俄富商或政治寡頭的虛擬帳戶，關閉交易，台灣應該也要建立相關機制，不只強化虛擬貨幣業者的監管，還要有能力去分析與追查帳戶背後的真正持有人，以免誤判封鎖到無辜第三人。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/politics/breakingnews/3853517
美國示警金融機構 關注俄國躲制裁的潛在行動,2022/03/08 11:08,"美國警告金融機構，應注意俄羅斯逃避制裁的潛在行動。（路透）
〔財經頻道／綜合報導〕在華盛頓對俄羅斯入侵烏克蘭實施一系列制裁後，美國週一（7日）警告金融機構，應注意俄羅斯逃避制裁的潛在行動。
《路透》報導，美國財政部旗下的金融犯罪法網路（Financial Crimes Enforcement Network，FinCEN）週一示警，建議所有金融機構提高警覺，並點名包括空殼公司在內，可能被用於逃避制裁的行動。
FinCEN代理主任達斯（Him Das）聲明表示，面對俄羅斯日益增長的經濟壓力，美國金融機構必須警惕，俄羅斯官員或寡頭可能會採取行動躲避制裁。
俄羅斯入侵烏克蘭，歐洲國家爆發二戰以來最大規模的襲擊，美國也對莫斯克這次侵略性的行動作出回應，祭多輪制裁，主要針對俄總統普廷（Vladimir Putin）、寡頭、俄央行和主要銀行。
FinCEN在週一的報告中表示，由於這些措施被鎖定的俄羅斯、白俄人員可能會尋求逃避制裁，這些行動可能透過虛擬貨幣交易進行。文中也警告，潛在的勒索軟體攻擊。
FinCEN呼籲金融機構迅速回報可能與逃避制裁有關的活動，並展開基於風險的客戶盡職調查。達斯指出，雖然目前尚未看到利用加密貨幣等方式逃避制裁，但即時回報可疑活動將有助於維護國家安全，和美國支持烏克蘭及其人民做出的努力。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3852078
中市豐原警分局長上地方有線電視 分享治安成果提醒防詐,2022/03/08 09:56,"台中市豐原警分局長劉安杰偕同偵查隊長陳俊彥、交通組長趙胤程，接受地方有線電視台訪問，暢談治安作為。（記者歐素美翻攝）
2022/03/08 09:56
〔記者歐素美／台中報導〕台中市豐原警分局長劉安杰昨偕同偵查隊長陳俊彥、交通組長趙胤程，接受地方有線電視台「台中亮起來」節目訪問，針對豐原分局轄區特色、偵破刑事案例、如何取締酒駕及防制詐欺的作為，與民眾分享，並強調詐騙案件層出不窮，不管是傳統的冒充檢警、冒充親友訛詐方式，或是現代網路遊戲、購物、虛擬貨幣及假投資真詐財等五花八門，防不勝防，提醒民眾防詐。
劉安杰指出，警方善用電子城牆，嚇阻歹徒僥倖心理，豐原分局運用監視器破獲刑案件數從108年322件、109年348件，去年增加至363件，呈現逐年上升之趨勢，對治交安顯有成效。
為加強防詐騙宣導，豐原分局並局針對中高齡長者及退休公職人員，透過家戶訪查勤務，加強宣導防止「高風險組群」被騙，另製作社區治安簡訊將最新詐騙及預防方法，分送到里長、鄰長、民眾手中，以有效遏止詐騙案件發生；同時加強超商及銀行防詐騙聯繫，藉由臨櫃關懷提問，必要時通報警方前往處置，推行已有顯著成果，今年因超商及銀行員通報破獲，共查獲9詐騙集團、查獲提款車手17名、阻詐金額95萬元。
此外，為強化執行台中市警察局「掃除醉犯」專案勤務，遏止民眾酒駕惡習，豐原分局針對轄內容易發生酒駕的時段、路段及區域，採取分散機動全面巡守方式，加強取締，今年1月1日至2月17日共取締66件，較去年同期取締54件增加12件。
劉安杰表示，合併前豐原曾是台中縣縣治所在地，轄區重要機關、學校、金融機構及超商等林立；神岡區則中小企業多，豐原及神岡2區人口共23萬、外籍移工1萬多，合計近25萬人口，目前警方有200多人，每名警力要服務1千多位民眾，但警方絕不懈怠，將以最好的心力來服務鄉親，將不法之徒繩之以法！
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3852061
俄侵烏局勢升高 謝長廷：中國犯台風險大 若遭經濟制裁將崩潰,2022/03/07 21:20,"駐日代表謝長廷表示，武力犯台要冒很多風險，而且中國的經濟和世界接軌，如果遭到世界對俄羅斯發動的同等制裁將讓中國崩潰。（記者林翠儀攝）
2022/03/07 21:20
〔駐日特派員林翠儀／東京7日報導〕俄羅斯入侵烏克蘭的局勢，讓很多日本民眾擔心中國會趁機襲台並波及日本，駐日代表謝長廷今天表示，國際輿情的確對此非常關心，但他認為台灣應不致於在這次被捲入，因為武力犯台要冒很多風險，而且中國的經濟和世界接軌，如果遭到世界對俄羅斯發動的同等制裁將讓中國崩潰。
日本讀賣新聞公布最新民調，有81%的受訪者擔心俄羅斯以武力改變現狀，未來可能波及其他地區，並危及日本的安全。日本新聞網（JNN）的民調，更有86%的受訪者，擔心俄羅斯對烏克蘭的軍事進攻，將導致中國在台灣和尖閣諸島，以武力改變現狀。
謝長廷在今天例行記者會被問及對此的看法，他表示，日本人這麼高比例表示擔憂，主要受輿論及意見領袖影響，如果同樣的民調在台灣進行，認為台灣會被捲入的民眾可能不到一半。
他解釋說，外國人不太知道台灣內部的複雜性，台灣可能有比較多人相信，中國最有利的方式，是讓台灣內亂自己崩潰或發生大事再順勢襲台，這最輕鬆。因為武力攻打要冒很多風險，即使沒有引起大戰也有經濟制裁，一旦台灣內亂的話，政府進行鎮壓，中國可能會以「維和」名義，或在發生大型天災、疫情，以救援的名義襲台。
他表示，不過我們站在料敵從寬的角度，寧可說「沒有絕對不可能」，大家要有心理準備，例如烏俄戰爭期間，中國戰機侵台連續不斷，又宣布南海進行演習等行為，也增加確信的可能性。但不能因此就說美國會袖手旁觀，這次美國立即派代表團訪台，用事實否定揣測就是一項證明，再則台灣包括高科技和地政學上的重要性，不同於烏克蘭。
他指出，台灣仔細觀察這次的戰爭，除軍事戰以外資訊戰、網路認知戰、惡意軟體病毒，這些非常重要，激烈不下於實體戰爭，台灣學到很多。
謝長廷還指出，中國也在觀察，有分析認為這次全球對俄羅斯發動的經濟金融制裁，會讓中國有所警惕，中國的經濟和世界接軌，同樣的制裁將讓中國崩潰。他相信中國主觀上即便有企圖，也先要對經濟制裁做出準備跟對策，例如讓人民幣成為決算工具，虛擬貨幣更普遍，減輕跟美國的經濟連結等，但這些都不是短時間可以完成的。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/politics/breakingnews/3851782
